OrigOrder,Township,Page,Lot,Bounds,Starting Corner,Direction,Chains,Links,Observation,Bounds Text,Destination Corner,Transcriber,Note
27,Hector,23,3,East,SE,North,50,,Crossed a Creek running Southwesterly and Good land,,,JuneSzabo,
28,Hector,23,3,East,SE,North,80,,Intersected the North bounds of the Town and set a Stake Standing 12 Links North of a large Maple tree marked and Numbered For the Corner of Lots No. 3 & 4,,NE,JuneSzabo,
29,Hector,53,4,North,NE,West,0,,Beginning at the Corner last mentioned [Corner of Lots No. 4 & 5.  Vide page 24],,,,
30,Hector,53,4,North,NE,West,77,57,The Northeast and Northwest Corner of Lots No. 3 & 4 Vide Page 23 & 24  Land good bearing White & black Oak Hickory Maple and some Chesnut Descend towards the Lake,,NW,Rebecca,
32,Hector,54,4,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 3 ,4, 12 & 13 Vide Page 23]",,,,
33,Hector,54,4,South,SW,East,10,,The Land inclines to Swamp,,,Rebecca,
34,Hector,54,4,South,SW,East,77,57,"The Corner of Lots No. 4, 5, 13, 14 Vide page 24  Land good and Level Bearing Basswood Walnut & Ash.",,SE,Rebecca,
36,Hector,24,4,East,NE,South,0,,Beginning at a Maple tree Standing on the North bounds of the town Marked and numbered for the Northeast & Northwest Corners of Lots No. 4 & 5,,,,
37,Hector,24,4,East,NE,South,30,,Crossed a brook running Westerly good land producing Beach Maple Elm Oak & Hickory,,,JuneSzabo,
38,Hector,24,4,East,NE,South,50,,Crossed a brook running Westerly,,,JuneSzabo,
39,Hector,24,4,East,NE,South,65,,Crossed a brook running Westerly Land Continues very good,,,JuneSzabo,
40,Hector,24,4,East,NE,South,80,,"Intersected a Line marked & Numbered a Chesnut Stake for the Corner of Lots Numbered 4, 5, 13 & 14 with several small Saplings Blazed around it",,SE,JuneSzabo,
43,Hector,53,5,North,NE,West,0,,Beginning at the Corner last mentioned [Corner Lots No. 5 & 6  Vide page 32],,,Rebecca,
44,Hector,53,5,North,NE,West,53,,Descending towards the Lake,,,,
45,Hector,53,5,North,NE,West,77,57,"The Northeast and Northwest Corner of Lots No. 4 & 5. Vide page 24.   Land Tollerable [sic] good Bearing Timber as Last mentioned [Beach, Maple, Ash, Basswood, Elm & White pine]",,NW,Rebecca,
47,Hector,55,5,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 4, 5, 13, 14 Vide page 24]",,,,
48,Hector,55,5,South,SW,East,40,,The top of a long Gradual ascent,,,Rebecca,
49,Hector,55,5,South,SW,East,77,57,"The Corner of Lots No. 5, 6, 14, 15  Vide Page 32.  Land level but not very being the top of the Ridge from Whence the waters run Opposite ways.",,SE,Rebecca,
51,Hector,32,5,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 5, 6, 14 & 15]",,,,
52,Hector,32,5,East,SE,North,30,,Crossed a small Brook Running Easterly,,,JuneSzabo,
53,Hector,32,5,East,SE,North,80,,"A Stake in the North Bounds of the Town Standing 6 Links westerly of a Beach tree Marked and Numbered for the Northeast and Northwest corner of Lots No. 5 & 6.  Land very good & Level Bearing Timber as last Mentioned [Beach, Maple, Elm, Basswood & white Ash]",,NE,Judy,
56,Hector,53,6,North,NE,West,0,,Beginning at the last mentioned Corner [Corner of Lots No. 6 & 7 -  Vide Page 33],,,,
57,Hector,53,6,North,NE,West,77,57,The Northeast and Northwest Corner of Lots No. 5 & 6 Vide page 32.  Land level and good Covered with Beach Maple Ash Basswood Elm & White pine,,NW,Rebecca,
59,Hector,55,6,South,SW,East,0,,Beginning at the Corner last Mentioned Descending gradually,,,,
60,Hector,55,6,South,SW,East,77,57,"The Corner of Lots No. 6, 7, 15, 16 Vide Page 33.  Good Land Bearing Beach Maple Basswood Elm & White ash.",,SE,Rebecca,
62,Hector,33,6,East,NE,South,0,,Beginning at a Beach tree Standing in the North Bounds of the Town  Marked  and Numbered for the Northeast and Northwest Corner of Lots No. 6 & 7,,,,
63,Hector,33,6,East,NE,South,54,,A fine Brook running Easterly - fine Land level Bearing Beach Maple Basswood  and Ash etc.,,,Judy,
64,Hector,33,6,East,NE,South,80,,Intersected a Line marked and Numbered a Maple Tree for the Corner of Lots No. 6. 7.15 & 16.  Land & Timber pretty much the same,,SE,Judy,
67,Hector,52,7,North,NE,West,0,,Beginning at the Corner last mentioned [Corner of  Lots 7 & 8 Vide Page 39],,,Judy,
68,Hector,52,7,North,NE,West,13,,Crossed a small Brook Bear:  Southerly,,,Rebecca,
69,Hector,52,7,North,NE,West,75,,A Run of Water Southeasterly,,,Rebecca,
70,Hector,52,7,North,NE,West,77,57,"The Northeast and Northwest Corner of Lots No. 6 & 7 - Vide page 33.  Good Land Bearing timber as last Mentioned [ Beach, Maple, Ash and White pine]",,NW,Rebecca,
72,Hector,55,7,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 6, 7, 15, 16 Vide Page 33]",,,Rebecca,
73,Hector,55,7,South,SW,East,5,,Crossed a fine Brook running SEly,,,Rebecca,
74,Hector,55,7,South,SW,East,38,,Crossed the Bend of a Brook,,,Rebecca,
75,Hector,55,7,South,SW,East,53,,Crossed another Bend of the Same Brook Which now bears Northwesterly.,,,Rebecca,
76,Hector,55,7,South,SW,East,77,57,"The Corner of Lots 7, 8, 16 & 17 [Vide Page 39.]  Land good and level Timber much the same as Last Mentioned [Beach, Maple, Basswood, Elm & White Ash]",,SE,Rebecca,
78,Hector,39,7,East,SE,North,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 7 & 8, 16 & 17]",,,,
79,Hector,39,7,East,SE,North,20,,Crossed a Large Brook running Easterly,,,,
80,Hector,39,7,East,SE,North,60,,A fine Brook running Southeasterly,,,Judy,
81,Hector,39,7,East,SE,North,80,,Intersected the North Bounds of the Town and marked and Numbered a Stake 25 Links North of a Birch Tree also Marked & Numbered for the Northeast and Northwest Corner of Lots No. 7 & 8,,NE,Judy,
84,Hector,52,8,North,NE,West,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 8, 9, 17 & 18]",,,,
85,Hector,52,8,North,NE,West,5,,Crossed a small brook running Southeasterly,,,Rebecca,
86,Hector,52,8,North,NE,West,77,57,The Northeast and Northwest Corner of Lots No. 7 & 8 - Vide page 39.  Land level and good bearing Beach Maple Ash and White pine,,NW,,
88,Hector,55,8,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots 7, 8, 16, 17 Vide Page 39.]",,,,
89,Hector,55,8,South,SW,East,58,,Crossed a dry run bear[ing] Northeasterly,,,,
90,Hector,56,17,North,NW,East,77,57,"The Corner of lots No. 8, 9, 17, 18 Vide Page 40.  Land very good and Level Timbered with Beach Maple White pine Elm White Ash etc.",,NE,Rebecca,
92,Hector,40,8,East,NE,South,0,,Beginning at a Stake Standing on the North Bounds of the Town 8 Links Northwest of a Beach Tree marked and Numbered for the Northeast and Northwest Corner of Lots No.  8 & 9,,,,
93,Hector,40,8,East,NE,South,30,,Crossed a large Brook running Easterly good level Land Bearing Beach Maple Ash Basswood Elm etc.,,,Judy,
94,Hector,40,8,East,NE,South,80,,"Intersected a Line & Marked & Numbered a Chesnut Tree for the Corner of Lots No. 8, 9, 17 & 18",,SE,Judy,
97,Hector,52,9,North,NE,West,0,,Beginning at the Corner last Mentioned [Corner of Lots No. 9 & 10 Vide Page 46],,,,
98,Hector,52,9,North,NE,West,28,,A Small Brook running Southeasterly,,,Rebecca,
99,Hector,52,9,North,NE,West,35,,A Small Spring brook: Ditto [running Southeasterly],,,Rebecca,
100,Hector,52,9,North,NE,West,44,,A small spring brook bear: Ditto [Southeasterly],,,Rebecca,
101,Hector,52,9,North,NE,West,77,57,A Stake Standing 8 links Northwest of a Beach tree Vide page 40 for a more particular Description [Corner of Lots No. 8 & 9],,NW,Rebecca,
103,Hector,56,9,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 8, 9,17, 18  Vide Page 40]",,,,
104,Hector,56,9,South,SW,East,77,57,"The Corner of Lots No. 9, 10, 18 & 19 Vide Page 46.  Excellent Land Timbered as last mentioned [Beach Maple  White pine  Elm White ash etc.]",,SE,Rebecca,
106,Hector,46,9,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 9, 10, 18 & 19]",,,,
107,Hector,46,9,East,SE,North,2,,A small Brook running Southerly,,,Judy,
108,Hector,46,9,East,SE,North,50,,Crossed a fine large Brook running Easterly,,,Judy,
109,Hector,46,9,East,SE,North,80,,Intersected a Line Marked and Numbered a Beach Tree for the Northeast & Northwest Corner of Lots No. 9 & 10 Standing in the North Bounds of the Town [20] Links Southwesterly from the Corner.  Fine Land Timber last Mentioned [ Maple Elm White Ash & Hickory],,NE,Judy,
112,Hector,51,10,North,NE,West,0,,Beginning at the Northeast Corner of the Township being a beach tree Marked for the Northeast and Northwest Corner of Township No. 21 & 22 standing in the South bounds of Township No. 16.,,,,
113,Hector,51,10,North,NE,West,20,,The Land inclines to  Swamp,,,Rebecca,
114,Hector,51,10,North,NE,West,70,,A Small run of Water Bear: Southerly,,,Rebecca,
115,Hector,51,10,North,NE,West,77,17,A Stake Standing 20 Links Northeasterly of a Beach Tree marked and Numbered for the Northeast & Northwest corner of Lots No. 9 & 10 Vide Page 46.,,NW,Rebecca,
117,Hector,56,10,South,SW,East,0,,"Beginning at the last Mentioned Corner  [Corner of Lots No. 9, 10, 18 & 19 Vide Page 46]",,,,
118,Hector,56,10,South,SW,East,21,,A small spring brook running Westerly,,,Rebecca,
119,Hector,56,10,South,SW,East,60,,Crossed a large Brook or Creek running Southerly,,,Rebecca,
120,Hector,56,10,South,SW,East,77,57,"The Corner of Lots No. 10, 19 Vide Page 47.  Land Excellently good & level Bear:  Beach Maple Basswood Elm & White pine",,SE,Rebecca,
122,Hector,47,10,East,NE,South,0,,Beginning at a Beach Tree being the Northeast Corner of the Township and of Lot No.10 marked on the Southeasterly Side NW for the Northwest Corner of Township No. 22 and on the Southwesterly Side NE for the Northeast Corner of Township No. 21,,,,
123,Hector,47,10,East,NE,South,50,,A Run of Water in a Hollow,,,JuneSzabo,
124,Hector,47,10,East,NE,South,80,,A Stake Standing in the East bounds of the Town 10 links East of a Maple Tree marked and Numbered for the Corner of No. 10 & 19 by the Southeast & Northeast Corner thereof.  Good Land bearing Beach Maple Elm White Ash Basswood etc.,,SE,JuneSzabo,
127,Hector,17,11,North,NW,East,0,,Beginning at a large Pitch pine tree Standing on the bank of the Lake being 485 Links South of the Line or Corner Marked and Numbered for the Northwest & Southwest Corner of Lots No. 11 & 2,,,JuneSzabo,
128,Hector,17,11,North,NW,East,,135,Crossed a dry run bear: Northwesterly Excellent Land,,,,
129,Hector,18,11,North,NW,East,54,,The road the Land is very good and well timbered,,,JuneSzabo,
130,Hector,18,11,North,NW,East,94,,Crossed a dry run bear: Northwesterly Excellent Land,,,JuneSzabo,
131,Hector,18,11,North,NW,East,142,50,Intersected the East Bounds of the Lake Lots -Vide Northeast & Southwest – page 2,,SE,JuneSzabo,
133,Hector,17,11,South,SW,East,0,,Beginning at a poplar tree standing on the bank of the lake Marked and Numbered for the Northwest & Southwest Corner of Lots No. 20 & 11,,,,
134,Hector,17,11,South,SW,East,30,50,Crossed the Road – Ascending – good land,,,JuneSzabo,
135,Hector,17,11,South,SW,East,70,,Opposite to an Emprovement [sic] made by Peter Love and now Occupied by Wm Livingston. Timber here is White Oak Hickory Elm etc.,,,JuneSzabo,
136,Hector,17,11,South,SW,East,105,,Crossed a fine spring brook Running Northwesterly good land,,,JuneSzabo,
137,Hector,17,11,South,SW,East,153,,Intersected the East Bound of the lake Lots - Vide Northeast & Southeast Corner of Lots  No. 20 & 11 page 2,,SE,JuneSzabo,
139,Hector,2,11,East,NE,South,0,,No Journal Entry,,,,
140,Hector,2,11,East,NE,South,15,,Land Continues good,,,,
141,Hector,2,11,East,NE,South,47,,A White ash Stake standing between two White Oak trees each  twenty Links Distant from the Stake Marked for the Southeast & Northeast Corner of Lots No. 11 & 20  Here the soil is thinly covered with timber,,SE,Charlotte,
148,Hector,58,12,South,SE,West,0,,"Beginning at the Corner last Mentioned  [Corner of Lots No. 12, 13, 22 & 23 Vide Page 23]",,,,
149,Hector,58,12,South,SE,West,55,,Crossed a Brook running Southwesterly,,,Rebecca,
150,Hector,58,12,South,SE,West,61,,Crossed a small run,,,Rebecca,
151,Hector,58,12,South,SE,West,77,57,Intersected the East Bounds of Lot No. 20 and set a [stake] standing 30 Links westerly of a Black Oak Tree Marked and Numbered for the Northwest and Southwest Corner of Lots No. 12 & 22.  Land but Midling Timbered mainly with White Oak and somewhat Stoney,,SW,Rebecca,
153,Hector,23,12,East,SE,North,0,,"Beginning at the last mentioned Corner  [Corner of Lots No. 12, 13, 22 & 23]",,,JuneSzabo,
154,Hector,23,12,East,SE,North,40,,Crossed a brook running Southwesterly and Good land bearing Maple Elm Ash Hickory Oak etc.,,,,
155,Hector,23,12,East,SE,North,55,,A small brook running Southwesterly,,,JuneSzabo,
156,Hector,23,12,East,SE,North,80,,"Intersected a Line and Marked and Numbered a Stake Standing in the Centre [sic] of a Triangle formed by two White Oak trees and a Maple all blazed on 4 Side [sic] being the Corner of Lots No. 3, 4, 12 & 13.  Good land Timbered as before [Maple Elm Ash Hickory Oak etc.]",,NE,JuneSzabo,
163,Hector,58,13,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 13, 14, 23 & 24 Vide Page 25]",,,,
164,Hector,58,13,South,SE,West,10,,A Small Brook running Northwesterly [Northeasterly],,,,
165,Hector,58,13,South,SE,West,77,57,"The Corner of Lots No. 12, 13, 22 & 23 Vide Page 23.  Land begins to grow better bearing Hickory Beach Maple Oak & White pine.",,SW,,
167,Hector,25,13,East,NE,South,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 4,5, 13 & 14]",,,,
168,Hector,25,13,East,NE,South,30,,Crossed a Brook running Westerly  Land pretty good bearing White pine Beach Maple and Hickory,,,JuneSzabo,
169,Hector,25,13,East,NE,South,80,,"Intersected the Line and set A Stake Standing  8 Links North from a Chesnut Sapling marked and Numbered for the Corner of Lots No. 13, 14, 23 & 24",,SE,JuneSzabo,
176,Hector,58,14,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 14, 15, 24 & 25 Vide page 31]",,,Rebecca,
177,Hector,58,14,South,SE,West,77,57,"The Corner of Lots No. 13, 14, 23 & 24 Vide Page 25.  The Land not very good Descending towards the Lake",,SW,Rebecca,
179,Hector,32,14,East,SE,North,0,,"Beginning at the Corner of last mentioned [Corner of Lots No. 14, 15, 24 & 25]",,,JuneSzabo,
180,Hector,32,14,East,SE,North,80,,"A Stake Standing 10 Links Easterly of a Beech tree marked for the Corner Lots No. 5, 6, 14 & 15.  Land Good level  Bearing Beach Maple Elm Basswood & white Ash",,NE,,
183,Hector,55,15,North,NW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 5, 6, 14, 15 Vide page 32] Descending gradually",,,Rebecca,
186,Hector,57,15,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 15, 16, 25 & 26 Vide Page 33.]",,,Rebecca,
187,Hector,57,15,South,SE,West,10,,A Spring Run Bear: Southerly,,,Rebecca,
188,Hector,57,15,South,SE,West,77,57,"The Corner of Lots No. 14, 15, 24 & 25 Vide Page 31.  High Land and not very good  Covered pretty much with underbrush and Scrubby timber.",,SW,Rebecca,
190,Hector,33,15,East,NE,South,0,,"Beginning at the last mentioned Corner [Corner of Lots No. 6,7, 15 & 16]",,,Judy,
191,Hector,33,15,East,NE,South,20,,A Small brook running Easterly here the Land is White pine Timber Intermixed.,,,Judy,
192,Hector,33,15,East,NE,South,80,,Intersected the Line and Marked and Numbered a Stake Standing 12 Links West of a White pine tree also marked for the Corner of Lots No. 15.16.25 & 26. and Numbered.  Land level and good Bearing Beach Maple White pine and some Oak,,SE,Judy,
201,Hector,57,16,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 16, 17, 26 & 27 Vide Page 39]",,,Rebecca,
202,Hector,57,16,South,SE,West,77,57,"The Corner of Lots No. 15, 16, 25 & 26 Vide Page 33.  Ascending Land & Midling Good Bearing Beach  Maple Chesnut & White pine",,SW,Rebecca,
204,Hector,39,16,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 16 & 17, 26 & 27",,,Judy,
205,Hector,39,16,East,SE,North,30,,Crossed a small Brook running Easterly,,,Judy,
206,Hector,39,16,East,SE,North,80,,"Intersected a Line and Marked and Numbered a Beach Tree for the Corner of Lots No.7 & 8, 16 & 17.  Very good Land - Beach Maple Elm Basswood Timber mainly -",,NE,Judy,
213,Hector,57,17,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 17, 18, 27 & 28 Vide Page 40]",,,Rebecca,
214,Hector,57,17,South,SE,West,70,,Crossed a small Brook running Southerly,,,Rebecca,
215,Hector,57,17,South,SE,West,77,57,"The Corner of Lots No. 16, 17, 26 & 27 - Vide Page 39.  Ascending Land & Good Timber as last Mentioned [Beach Maple some Oak White pine & Hickory]",,SW,Rebecca,
217,Hector,40,17,East,NE,South,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 8, 9, 17 & 18]",,,Judy,
218,Hector,40,17,East,NE,South,16,,A small Brook running Easterly,,,Judy,
219,Hector,40,17,East,NE,South,80,,"Intersected a Line and Marked and Numbered a Chesnut Tree for the Corner of Lots No. 17, 18, 27 & 28.  Here is Chesnut timber Intermixed with Beach Maple Elm & Basswood - good Land",,SE,Judy,
225,Hector,57,18,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 19 & 18, 28 & 29 Vide page 45]",,,Rebecca,
226,Hector,57,18,South,SE,West,50,,Crossed a Brook running Southeasterly,,,Rebecca,
227,Hector,57,18,South,SE,West,66,,Crossed a dry run Bear: Southeasterly,,,Rebecca,
228,Hector,57,18,South,SE,West,77,57,"The Corner of Lots No. 17, 18, 27 & 28 Vide Page 40.  Good Land Bearing Beach Maple some Oak White pine & Hickory",,SW,Rebecca,
230,Hector,46,18,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 18, 19, 28 & 29]",,,Judy,
231,Hector,46,18,East,SE,North,70,,Crossed a fine Brook running Easterly,,,Judy,
232,Hector,46,18,East,SE,North,78,,Crossed a small Brook running Southeasterly,,,Judy,
233,Hector,46,18,East,SE,North,80,,"Intersected a Line Marked and Numbered a Beach Tree for the Corner of Lots No. 9, 10, 18 & 19.  Excellent Land bearing beach Maple Elm White Ash & Hickory",,NE,Judy,
241,Hector,56,19,South,SE,West,0,,Beginning at the Corner of Lots No. 19 & 29 on the East Bounds of the Town Vide page 47,,,Rebecca,
242,Hector,56,19,South,SE,West,53,,Crossed a fine large Brook running Southeasterly,,,Rebecca,
243,Hector,56,19,South,SE,West,72,,Crossed the bend of a Brook running Easterly,,,Rebecca,
244,Hector,56,19,South,SE,West,77,57,"The Corner of Lots No. 19 & 18, 28 & 29 Vide page 45.  Land Excellent Good & Level Bearing timber as last Described [Beach Maple Basswood Elm & White pine",,SW,Rebecca,
246,Hector,47,19,East,NE,South,0,,Beginning at the Corner last Mentioned [Corner of No. 10 & 19 by the Southeast & Northeast Corner there of],,,JuneSzabo,
247,Hector,47,19,East,NE,South,48,,The Land descending toward the South,,,JuneSzabo,
248,Hector,47,19,East,NE,South,80,,A hard Maple Sapling Marked and Numbered for the Southeast and Northeast Corner of Lots No. 19 & 29 Standing in the East Bounds of The Township.  Good Level Land bearing Timber last mentioned [Beach Maple Elm White Ash Basswood etc.],,SE,JuneSzabo,
251,Hector,17,20,North,NW,East,0,,Beginning at a poplar tree standing on the bank of the lake Marked & Numbered for the Northwest & Southwest Corner of Lots No. 20 & 11,,,,
252,Hector,17,20,North,NW,East,30,50,Crossed the Road -Ascending -good land,,,,
253,Hector,17,20,North,NW,East,70,,Opposite to an Emprovement [sic] made by Peter Love and now Occupied by Wm Livingston Timber here is White Oak Hickory Elm etc.,,,,
254,Hector,17,20,North,NW,East,105,,Crossed a fine spring brook Running Northwesterly  good land,,,,
255,Hector,17,20,North,NW,East,153,,Intersected the East Bound of the lake Lots - Vide Northeast & Southeast Corner of Lots No. 20 & 11 page 2,,NE,,
257,Hector,16,20,South,SW,East,0,,Beginning at a Black Oak tree marked and Num: for the Northwest and Southwest Corner of Lots No. 20 & 21 Standing on the Bank of the Lake,,,Charlotte,
258,Hector,16,20,South,SW,East,33,,Crossed a small run bear: Northwesterly good land,,,Charlotte,
259,Hector,16,20,South,SW,East,47,,The road - and nearly Opposite to where one Masters now lives,,,Charlotte,
260,Hector,16,20,South,SW,East,53,,A Small Spring running here the Land is very good,,,Charlotte,
261,Hector,16,20,South,SW,East,63,,A Small Spring brook bear Northwesterly here is a Clearing made by Masters of about 20 Acres,,,Charlotte,
262,Hector,16,20,South,SW,East,121,,A Spring brook running Southwesterly,,,Charlotte,
263,Hector,17,20,South,SW,East,156,,Intersected the East bound of the lake lots - Vide Southeast & Northeast Corner of Lots No. 20 & 21 page 3,,NE,JuneSzabo,
265,Hector,3,20,East,NE,South,0,,Beginning at the Corner last mentioned [Corner of Lots No. 11 & 20],,,,
266,Hector,3,20,East,NE,South,9,,The soil tollerably [sic] good bearing mostly Oak and Hickory,,,Charlotte,
267,Hector,3,20,East,NE,South,24,,Crossed a small dry run bear:  Westerly. Crossed a small dry run bearing toward the other.,,,Charlotte,
268,Hector,3,20,East,NE,South,44,,The soil & Timber pretty much the same as last mentioned  Marked and Numbered a large White Oak Tree for the Southeast and Northeast Corner of Lots No. 20 & 21,,SE,Charlotte,
272,Hector,15,21,South,SW,East,0,,Beginning at a White Oak tree standing on the Bank of the Lake marked & Num: for the Northwest  and Southwest Corner of Lots No. 30 and No. 21,,,Charlotte,
273,Hector,15,21,South,SW,East,32,,Crossed a fine Stream running Southwesterly [Northwesterly] Ascending Land,,,Charlotte,
274,Hector,15,21,South,SW,East,36,,Crossed it again with high bank of perpendicular Rocks,,,Charlotte,
275,Hector,15,21,South,SW,East,66,50,Crossed the Road Land is very stoney & rough,,,Charlotte,
276,Hector,15,21,South,SW,East,81,50,Crossed the Stream again,,,Charlotte,
277,Hector,16,21,South,SW,East,88,,The Creek again,,,,
278,Hector,16,21,South,SW,East,95,,Crossed it again for the last time where a small brook empties into it,,,,
279,Hector,16,21,South,SW,East,122,,Crossed a fine brook running Southwesterly the Land hilly & broken,,,Charlotte,
280,Hector,16,21,South,SW,East,161,,Intersected the East bound of the Lake Lots Vide Southeast & Northeast Corners of Lots No. 30 & 31 [21] page 3,,SE,Charlotte,
282,Hector,3,21,East,NE,South,0,,Beginning at the Corner last Mentioned [Corner of Lots No. 20 & 21],,,Charlotte,
283,Hector,3,21,East,NE,South,42,,Marked and numbered a large White Oak tree for the Southeast & Northeast Corners of Lots No. 21 & 30.  Soil at this place Indifferent being stoney and bearing but little timber,,SE,Charlotte,
291,Hector,59,22,South,SW,East,0,,"Beginning at a Stake Standing on the Top of the Northerly Bank of a Creek or Stream with several small Saplings or Bushes Blazed around it, being the Southwest and Northwest Corner of Lots No. 22 & 32",,,Rebecca,
292,Hector,59,22,South,SW,East,11,,Crossed a fine Brook running Southwesterly,,,Rebecca,
293,Hector,59,22,South,SW,East,32,,A Spring Brook Southwesterly.,,,Rebecca,
294,Hector,59,22,South,SW,East,77,57,"A Corner being the Corner of Lots No. 22, 23, 32 & 33 Vide page 22.  Land but midling somewhat broken and Stoney in places.",,SE,Rebecca,
296,Hector,23,22,East,SE,North,0,,"Beginning at the last mentioned Corner [Corner of Lots No. 22, 23, & 32]",,,,
297,Hector,23,22,East,SE,North,55,,Crossed a fine Brook Running Westerly Fine Land,,,,
